Scanning dir /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository
Starting filesystem walk for root: /
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/codehaus/plexus/plexus/18/plexus-18.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/codehaus/plexus/plexus/16/plexus-16.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/codehaus/plexus/plexus/24/plexus-24.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/codehaus/plexus/plexus/20/plexus-20.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/jspecify/jspecify/1.0.0/jspecify-1.0.0.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/hdrhistogram/HdrHistogram/2.2.2/HdrHistogram-2.2.2.pom file and found 5 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/objenesis/objenesis/3.3/objenesis-3.3.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/objenesis/objenesis-parent/3.3/objenesis-parent-3.3.pom file and found 1 package
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/tomlj/tomlj/1.0.0/tomlj-1.0.0.pom file and found 2 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/seleniumhq/selenium/selenium-bom/4.37.0/selenium-bom-4.37.0.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/mongodb/mongodb-driver-bom/5.6.5/mongodb-driver-bom-5.6.5.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/mockito/mockito-bom/5.20.0/mockito-bom-5.20.0.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/mockito/mockito-bom/4.11.0/mockito-bom-4.11.0.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/mockito/mockito-junit-jupiter/5.20.0/mockito-junit-jupiter-5.20.0.pom file and found 2 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/mockito/mockito-core/5.20.0/mockito-core-5.20.0.pom file and found 3 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/platform/junit-platform-commons/6.0.3/junit-platform-commons-6.0.3.pom file and found 2 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/platform/junit-platform-commons/1.12.2/junit-platform-commons-1.12.2.pom file and found 1 package
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/platform/junit-platform-launcher/6.0.3/junit-platform-launcher-6.0.3.pom file and found 3 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/platform/junit-platform-launcher/1.12.2/junit-platform-launcher-1.12.2.pom file and found 2 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/platform/junit-platform-engine/6.0.3/junit-platform-engine-6.0.3.pom file and found 4 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/platform/junit-platform-engine/1.12.2/junit-platform-engine-1.12.2.pom file and found 3 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/junit-bom/6.0.3/junit-bom-6.0.3.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/junit-bom/5.9.1/junit-bom-5.9.1.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/junit-bom/5.12.2/junit-bom-5.12.2.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/junit-bom/5.11.4/junit-bom-5.11.4.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/junit-bom/5.12.1/junit-bom-5.12.1.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/junit-bom/5.13.2/junit-bom-5.13.2.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/junit-bom/5.10.2/junit-bom-5.10.2.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/junit-bom/5.11.0-M2/junit-bom-5.11.0-M2.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/junit-bom/5.10.0/junit-bom-5.10.0.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/junit-bom/5.7.2/junit-bom-5.7.2.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/junit-bom/5.14.2/junit-bom-5.14.2.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/junit-bom/5.13.3/junit-bom-5.13.3.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/junit-bom/5.10.1/junit-bom-5.10.1.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/junit-bom/5.7.1/junit-bom-5.7.1.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/junit-bom/5.13.4/junit-bom-5.13.4.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/junit-bom/5.13.1/junit-bom-5.13.1.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/jupiter/junit-jupiter-engine/6.0.3/junit-jupiter-engine-6.0.3.pom file and found 4 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/jupiter/junit-jupiter-params/6.0.3/junit-jupiter-params-6.0.3.pom file and found 3 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/jupiter/junit-jupiter/6.0.3/junit-jupiter-6.0.3.pom file and found 3 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/junit/jupiter/junit-jupiter-api/6.0.3/junit-jupiter-api-6.0.3.pom file and found 4 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/latencyutils/LatencyUtils/2.0.3/LatencyUtils-2.0.3.pom file and found 2 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/slf4j/slf4j-bom/2.0.17/slf4j-bom-2.0.17.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/slf4j/slf4j-api/2.0.17/slf4j-api-2.0.17.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/slf4j/slf4j-api/1.7.36/slf4j-api-1.7.36.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/slf4j/slf4j-parent/2.0.17/slf4j-parent-2.0.17.pom file and found 1 package
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/slf4j/slf4j-parent/1.7.36/slf4j-parent-1.7.36.pom file and found 1 package
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/slf4j/jul-to-slf4j/2.0.17/jul-to-slf4j-2.0.17.pom file and found 1 package
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/apache-extras/beanshell/bsh/2.0b6/bsh-2.0b6.pom file and found 1 package
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/testcontainers/testcontainers-bom/2.0.5/testcontainers-bom-2.0.5.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/iq80/snappy/snappy/0.4/snappy-0.4.pom file and found 4 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/neo4j/driver/neo4j-java-driver-bom/6.0.5/neo4j-java-driver-bom-6.0.5.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/neo4j/bolt/neo4j-bolt-connection-bom/11.0.1/neo4j-bolt-connection-bom-11.0.1.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/eclipse/ee4j/project/1.0.9/project-1.0.9.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/eclipse/ee4j/project/1.0.7/project-1.0.7.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/eclipse/jetty/ee11/jetty-ee11-bom/12.1.8/jetty-ee11-bom-12.1.8.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/eclipse/jetty/jetty-bom/12.1.8/jetty-bom-12.1.8.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/assertj/assertj-bom/3.27.7/assertj-bom-3.27.7.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/assertj/assertj-core/3.27.7/assertj-core-3.27.7.pom file and found 5 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/infinispan/infinispan-bom/15.2.6.Final/infinispan-bom-15.2.6.Final.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/infinispan/infinispan-build-configuration-parent/15.2.6.Final/infinispan-build-configuration-parent-15.2.6.Final.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/jetbrains/kotlin/kotlin-bom/2.2.21/kotlin-bom-2.2.21.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/jetbrains/kotlinx/kotlinx-coroutines-bom/1.10.2/kotlinx-coroutines-bom-1.10.2.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/jetbrains/kotlinx/kotlinx-serialization-bom/1.9.0/kotlinx-serialization-bom-1.9.0.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/json/json/20231013/json-20231013.pom file and found 3 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/tukaani/xz/1.9/xz-1.9.pom file and found 0 packages
Scanned /home/kavya_parivarababu/oss-remediation-adk/autonomous-oss-remediation-workspaces/run-20260925T170726Z-89880aad/temp/autonomous-osv-kkdq5xds/repository/.m2/org/jboss/jboss-parent/52/jboss-parent-52.pom file and found 0 packages
